"ACTION","AS_units...2","AS_COMPLETION","ROW_COMPLETION","skip","checked_for_duplicates","row_number","Source","Source DOI","author","author_doi","data_location","sample","notes","notes2","treatment_OLD","treatment","treatment_NOTES","treatment_level","latitude","longitude","lat_lon_notes","location","elevation_m","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","aridity","plant_species","MAP(mm)","MAT(°)","Duration (year)","year_sampled","fraction_scheme","aggregate_size_OLD","aggregate_size","amino_sugars","AS_units...41","gluN","gluN_units","murA","murA_units","galN","galN_units","manN","manN_units","microbial_necromass_C","MNC_units","fungal_necromass_C","FNC_units","bacterial_necromass_C","BNC_units","bacterial_biomass_C","bbc_units","fungal_biomass_C","fbc_units","microbial_biomass_C","MBC-units","microbial_biomass_N","MBN-units","soc","SOC_units","soil_C","TC_units","soil_N","TN_units","soil C/N","pH","pH_method","clay","silt","sand","texture","bulk_density","Method","other_variables_available"
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1710","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage-29year","tillage",,"Long-term no-tillage-29year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"884.72","mg/kg","99.1936","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1711","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-14year","tillage",,"Long-term Kentucky bluegrass sod-14year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1115.27","mg/kg","159.715","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1712","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-24year","tillage",,"Long-term Kentucky bluegrass sod-24year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1147.91","mg/kg","232.409","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1713","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-29year","tillage",,"Long-term Kentucky bluegrass sod-29year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1251.55","mg/kg","240.062","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1714","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plow tillage-14year","tillage",,"Long-term moldboard plow tillage-14year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1032.31","mg/kg","147.322","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1715","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plow tillage-19year","tillage",,"Long-term moldboard plow tillage-19year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"935.1","mg/kg","113.234","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1716","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plow tillage-24year","tillage",,"Long-term moldboard plow tillage-24year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"881.556","mg/kg","83.0656","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1717","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plow tillage-29year","tillage",,"Long-term moldboard plow tillage-29year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"915.322","mg/kg","88.1078","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1718","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage-14year","tillage",,"Long-term no-tillage-14year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"936.227","mg/kg","135.581","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1719","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage-19year","tillage",,"Long-term no-tillage-19year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"873.964","mg/kg","104.104","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1720","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage-24year","tillage",,"Long-term no-tillage-24year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"898.982","mg/kg","81.7551","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1721","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage-29year","tillage",,"Long-term no-tillage-29year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"906.602","mg/kg","81.5861","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1722","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-14year","tillage",,"Long-term Kentucky bluegrass sod-14year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1075.99","mg/kg","108.19","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1723","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-24year","tillage",,"Long-term Kentucky bluegrass sod-24year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1195.95","mg/kg","204.369","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1724","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term Kentucky bluegrass sod-29year","tillage",,"Long-term Kentucky bluegrass sod-29year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1194.81","mg/kg","221.15","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1725","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-1year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-1year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"881.815","mg/kg","129.607","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1726","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-6year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-6year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"921.862","mg/kg","118.889","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1727","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-11year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-11year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"935.6","mg/kg","108.189","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1728","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-16year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-16year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"929.594","mg/kg","105.332","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1729","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-1year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-1year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"857.687","mg/kg","130.043","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1730","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-6year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-6year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"897.734","mg/kg","108.846","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1731","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-11year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-11year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"950.94","mg/kg","108.615","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1732","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-16year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-16year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"931.789","mg/kg","104.45","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1733","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-1year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-1year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"938.824","mg/kg","142.267","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1734","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-6year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-6year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"840.711","mg/kg","121.073","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1735","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-11year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-11year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"880.758","mg/kg","88.0992","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1736","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term no-tillage (NT) to moldboard plowing-16year","tillage",,"Long-term no-tillage (NT) to moldboard plowing-16year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"907.648","mg/kg","82.6194","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1737","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-1year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-1year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"885.965","mg/kg","98.2533","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1738","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-6year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-6year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1039.47","mg/kg","102.183","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1739","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-11year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-11year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1070.18","mg/kg","116.594","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1740","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-16year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-16year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1109.65","mg/kg","115.284","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1741","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-1year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-1year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"899.123","mg/kg","166.376","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1742","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-6year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-6year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"947.368","mg/kg","124.454","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1743","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-11year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-11year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"925.439","mg/kg","104.803","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1744","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-16year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-16year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"899.123","mg/kg","106.114","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1745","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-1year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-1year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"938.596","mg/kg","134.934","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1746","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-6year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-6year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"938.596","mg/kg","136.245","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1747","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-11year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-11year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"899.123","mg/kg","140.175","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1748","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term moldboard plowing (MP) to notillage (NT)-16year","tillage",,"Long-term moldboard plowing (MP) to notillage (NT)-16year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"938.596","mg/kg","151.965","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1749","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-1year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-1year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"912.667","mg/kg","93.8813","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1750","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-11year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-11year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1084.69","mg/kg","140.05","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1751","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-16year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-16year","42.13","-82.44",,,"188","0","5",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1072.85","mg/kg","149.326","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1752","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-1year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-1year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1169.93","mg/kg","143.201","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1753","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-11year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-11year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1146.27","mg/kg","154.017","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1754","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-16year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-16year","42.13","-82.44",,,"188","5","10",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1058.31","mg/kg","159.391","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1755","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-1year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-1year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1340.18","mg/kg","161.056","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
"WHERE DID THE TC DATA COME FROM",,"4","18",,"Y","1756","Wang et al. 2021","https://doi.org/10.1016/j.soilbio.2021.108422","Zhang et al. 2014b","https://doi.org/10.1016/j.still.2013.08.011",,,,,"Long-term bluegrass sod (BG) to moldboard plowing-11year","tillage",,"Long-term bluegrass sod (BG) to moldboard plowing-11year","42.13","-82.44",,,"188","10","20",,"Typic Argiaquolls","cropland",,,,"831","8.9",,,"bulk soil",,,,,"1175.21","mg/kg","166.633","mg/kg",,,,,,,,,,,,,,,,,,,,,"23.16",,,,,,,"37","28","35",,,,
